time,xArm,yArm,zArm,xtraj,ytraj,ztraj,xGoal,yGoal,zGoal,xPArm,yPArm,zPArm
0.018,0.0296735,3.79955e-05,0.849493,0.451418,0.000719568,0.717216,-0.330579,-0.721611,0.854624,0.452523,3.20734e-05,0.848918
0.036,0.0188441,0.000446501,0.846124,0.452133,0.00143827,0.715734,-0.330579,-0.721611,0.854624,0.458213,0.000609297,0.843674
0.054,0.0130775,0.00134639,0.837502,0.452844,0.00215611,0.714253,-0.330579,-0.721611,0.854624,0.464604,0.00175089,0.832368
0.072,0.00936693,0.00230816,0.82614,0.453552,0.00287309,0.712775,-0.330579,-0.721611,0.854624,0.469613,0.00282862,0.818562
0.09,0.00788005,0.0031271,0.812963,0.454257,0.0035892,0.711298,-0.330579,-0.721611,0.854624,0.473204,0.00380516,0.803391
0.108,0.0242183,0.00366503,0.798019,0.454958,0.00430445,0.709823,-0.330579,-0.721611,0.854624,0.475698,0.00458075,0.786727
0.126,0.0255406,0.00372574,0.782543,0.455656,0.00501883,0.708349,-0.330579,-0.721611,0.854624,0.476276,0.00486828,0.769577
0.144,0.0250411,0.00299717,0.771577,0.45635,0.00573235,0.706878,-0.330579,-0.721611,0.854624,0.471922,0.00410526,0.757416
0.162,0.0246888,6.82256e-05,0.76883,0.457041,0.00644501,0.705408,-0.330579,-0.721611,0.854624,0.461752,0.000664338,0.755567
0.18,0.0227912,-0.00418509,0.771162,0.457728,0.0071568,0.70394,-0.330579,-0.721611,0.854624,0.448659,-0.00395132,0.76004
0.198,0.0146211,-0.00742961,0.774705,0.458412,0.00786773,0.702474,-0.330579,-0.721611,0.854624,0.436351,-0.0074132,0.766093
0.216,0.0106232,-0.00719272,0.777146,0.459093,0.00857779,0.70101,-0.330579,-0.721611,0.854624,0.431408,-0.00677146,0.769234
0.234,0.00725828,-0.0061045,0.777411,0.45977,0.00928699,0.699547,-0.330579,-0.721611,0.854624,0.430384,-0.00520997,0.769238
0.252,0.00809556,-0.00644375,0.775089,0.460444,0.00999533,0.698086,-0.330579,-0.721611,0.854624,0.430119,-0.00567581,0.76623
0.27,0.0124126,-0.00783904,0.771365,0.461115,0.0107028,0.696627,-0.330579,-0.721611,0.854624,0.429554,-0.00762922,0.761765
0.288,0.00957044,-0.00968255,0.767186,0.461782,0.0114094,0.69517,-0.330579,-0.721611,0.854624,0.428535,-0.0101859,0.756891
0.306,0.00750629,-0.0116876,0.762894,0.462446,0.0121152,0.693715,-0.330579,-0.721611,0.854624,0.427543,-0.0128261,0.751885
0.324,0.0102606,-0.0137199,0.758524,0.463106,0.01282,0.692261,-0.330579,-0.721611,0.854624,0.426804,-0.0153881,0.746679
0.342,0.00989789,-0.0156628,0.754174,0.463763,0.013524,0.690809,-0.330579,-0.721611,0.854624,0.426023,-0.0178488,0.741462
0.36,0.0102779,-0.0174934,0.74996,0.464417,0.0142272,0.689359,-0.330579,-0.721611,0.854624,0.424983,-0.0202,0.736441
0.378,0.00941828,-0.0192234,0.745961,0.465068,0.0149295,0.68791,-0.330579,-0.721611,0.854624,0.423694,-0.0224449,0.731723
0.396,0.0120242,-0.0207562,0.742183,0.465715,0.0156309,0.686464,-0.330579,-0.721611,0.854624,0.422252,-0.024468,0.72729
0.414,0.0096258,-0.022016,0.738608,0.466359,0.0163315,0.685019,-0.330579,-0.721611,0.854624,0.420728,-0.0261998,0.723101
0.432,0.00856876,-0.0233816,0.73526,0.466999,0.0170312,0.683576,-0.330579,-0.721611,0.854624,0.418952,-0.0276426,0.719282
0.45,0.00979877,-0.0256885,0.732221,0.467636,0.01773,0.682135,-0.330579,-0.721611,0.854624,0.416571,-0.0297205,0.716047
0.468,0.00834825,-0.028871,0.72956,0.46827,0.018428,0.680695,-0.330579,-0.721611,0.854624,0.414543,-0.032918,0.713375
0.486,0.0108415,-0.0320242,0.726867,0.468901,0.0191251,0.679258,-0.330579,-0.721611,0.854624,0.414566,-0.0363373,0.710195
0.504,0.00919141,-0.034607,0.724179,0.469528,0.0198213,0.677822,-0.330579,-0.721611,0.854624,0.415638,-0.0392458,0.706843
0.522,0.0109987,-0.0367583,0.721458,0.470152,0.0205167,0.676388,-0.330579,-0.721611,0.854624,0.417006,-0.0417438,0.703586
0.54,0.00884564,-0.0385444,0.718484,0.470773,0.0212112,0.674955,-0.330579,-0.721611,0.854624,0.418846,-0.0438689,0.700098
0.558,0.00747551,-0.0399059,0.715216,0.47139,0.0219048,0.673525,-0.330579,-0.721611,0.854624,0.421265,-0.0455437,0.696242
0.576,0.00656338,-0.0408939,0.711845,0.472005,0.0225976,0.672096,-0.330579,-0.721611,0.854624,0.424066,-0.046816,0.692237
0.594,0.00754461,-0.0415744,0.708573,0.472615,0.0232896,0.670669,-0.330579,-0.721611,0.854624,0.427108,-0.0477429,0.688357
0.612,0.00675232,-0.0419249,0.705472,0.473223,0.0239806,0.669244,-0.330579,-0.721611,0.854624,0.43041,-0.0482652,0.684675
0.63,0.00702322,-0.0420014,0.701754,0.473828,0.0246708,0.667821,-0.330579,-0.721611,0.854624,0.434274,-0.0486329,0.680483
0.648,0.00684383,-0.0415916,0.696679,0.474429,0.0253601,0.666399,-0.330579,-0.721611,0.854624,0.438615,-0.0485276,0.674436
0.666,0.00718135,-0.0405081,0.691282,0.475027,0.0260486,0.664979,-0.330579,-0.721611,0.854624,0.442604,-0.0477178,0.667966
0.684,0.00723365,-0.0392385,0.686367,0.475622,0.0267362,0.663561,-0.330579,-0.721611,0.854624,0.445853,-0.0466619,0.662083
0.702,0.00755932,-0.0381561,0.68221,0.476213,0.0274229,0.662145,-0.330579,-0.721611,0.854624,0.448388,-0.0457301,0.657204
0.72,0.00737133,-0.0373607,0.678617,0.476802,0.0281088,0.66073,-0.330579,-0.721611,0.854624,0.450537,-0.0449721,0.653043
0.738,0.00692719,-0.0368636,0.675392,0.477387,0.0287938,0.659318,-0.330579,-0.721611,0.854624,0.452505,-0.0444332,0.649318
0.756,0.00677336,-0.0366178,0.672469,0.477969,0.029478,0.657907,-0.330579,-0.721611,0.854624,0.45435,-0.0441049,0.64595
0.774,0.00655815,-0.0365293,0.669805,0.478547,0.0301612,0.656497,-0.330579,-0.721611,0.854624,0.456104,-0.0439133,0.642892
0.792,0.00662372,-0.0365395,0.667378,0.479123,0.0308436,0.65509,-0.330579,-0.721611,0.854624,0.457771,-0.0437991,0.640102
0.81,0.00714609,-0.0366243,0.665192,0.479695,0.0315252,0.653685,-0.330579,-0.721611,0.854624,0.459368,-0.0437406,0.637595
0.828,0.00718273,-0.0365015,0.662836,0.480264,0.0322059,0.652281,-0.330579,-0.721611,0.854624,0.461106,-0.0433766,0.635097
0.846,0.00682693,-0.0357891,0.65963,0.48083,0.0328857,0.650879,-0.330579,-0.721611,0.854624,0.463168,-0.0422008,0.631696
0.864,0.00702184,-0.0350589,0.65584,0.481393,0.0335647,0.649478,-0.330579,-0.721611,0.854624,0.465771,-0.0411158,0.627393
0.882,0.0068752,-0.0346684,0.652412,0.481953,0.0342428,0.64808,-0.330579,-0.721611,0.854624,0.468548,-0.0405112,0.623323
0.9,0.00687789,-0.0345352,0.649615,0.48251,0.03492,0.646683,-0.330579,-0.721611,0.854624,0.471085,-0.0402206,0.62006
0.918,0.0065844,-0.0344129,0.647178,0.483063,0.0355964,0.645288,-0.330579,-0.721611,0.854624,0.473447,-0.0399199,0.617287
0.936,0.00687994,-0.0341129,0.644942,0.483613,0.0362719,0.643895,-0.330579,-0.721611,0.854624,0.475795,-0.0394066,0.614763
0.954,0.00684581,-0.033588,0.642878,0.48416,0.0369465,0.642504,-0.330579,-0.721611,0.854624,0.478222,-0.0386383,0.612421
0.972,0.00687106,-0.0328393,0.640986,0.484704,0.0376203,0.641114,-0.330579,-0.721611,0.854624,0.480735,-0.0376158,0.610259
0.99,0.00683798,-0.0318608,0.639308,0.485245,0.0382932,0.639727,-0.330579,-0.721611,0.854624,0.483297,-0.0363266,0.608315
1.008,0.00697552,-0.0306305,0.637957,0.485783,0.0389652,0.638341,-0.330579,-0.721611,0.854624,0.485861,-0.0347432,0.606715
1.026,0.00699739,-0.0293614,0.636514,0.486318,0.0396364,0.636956,-0.330579,-0.721611,0.854624,0.488467,-0.0331477,0.605153
1.044,0.00711721,-0.0280051,0.634455,0.486849,0.0403068,0.635574,-0.330579,-0.721611,0.854624,0.491021,-0.0315076,0.602762
1.062,0.00683164,-0.0262738,0.632385,0.487378,0.0409762,0.634193,-0.330579,-0.721611,0.854624,0.493349,-0.0294628,0.600284
1.08,0.00709805,-0.0244017,0.630692,0.487903,0.0416448,0.632815,-0.330579,-0.721611,0.854624,0.49539,-0.0272555,0.598231
1.098,0.00698199,-0.022545,0.62943,0.488425,0.0423125,0.631437,-0.330579,-0.721611,0.854624,0.497126,-0.0250669,0.596734
1.116,0.00671017,-0.0207336,0.628576,0.488945,0.0429794,0.630062,-0.330579,-0.721611,0.854624,0.498664,-0.0229155,0.59576
1.134,0.00676479,-0.018965,0.628046,0.489461,0.0436454,0.628689,-0.330579,-0.721611,0.854624,0.50017,-0.0207876,0.595183
1.152,0.00697113,-0.0172354,0.627744,0.489974,0.0443105,0.627317,-0.330579,-0.721611,0.854624,0.501759,-0.0186806,0.594862
1.17,0.00663527,-0.0155572,0.627608,0.490484,0.0449748,0.625947,-0.330579,-0.721611,0.854624,0.503449,-0.0166114,0.594726
1.188,0.00674444,-0.013951,0.627534,0.490991,0.0456382,0.624579,-0.330579,-0.721611,0.854624,0.505255,-0.0146126,0.594679
1.206,0.00705005,-0.0124085,0.627428,0.491495,0.0463008,0.623212,-0.330579,-0.721611,0.854624,0.507177,-0.0126741,0.594584
1.224,0.00710669,-0.0106803,0.626582,0.491996,0.0469624,0.621848,-0.330579,-0.721611,0.854624,0.509483,-0.0104707,0.593915
1.242,0.00713149,-0.00852697,0.624277,0.492494,0.0476232,0.620485,-0.330579,-0.721611,0.854624,0.511973,-0.0075481,0.591413
1.26,0.00720946,-0.00673043,0.62167,0.492988,0.0482832,0.619124,-0.330579,-0.721611,0.854624,0.514314,-0.00518892,0.588391
1.278,0.00721928,-0.00544175,0.619633,0.49348,0.0489423,0.617765,-0.330579,-0.721611,0.854624,0.516562,-0.00350627,0.585862
1.296,0.00718624,-0.00433521,0.618447,0.493969,0.0496005,0.616407,-0.330579,-0.721611,0.854624,0.518513,-0.00203613,0.584364
1.314,0.00687079,-0.00320644,0.617988,0.494455,0.0502579,0.615052,-0.330579,-0.721611,0.854624,0.520249,-0.000523757,0.583792
1.332,0.00684841,-0.0019247,0.618014,0.494938,0.0509144,0.613698,-0.330579,-0.721611,0.854624,0.521955,0.00114709,0.58383
1.35,0.00690561,-0.000381768,0.618307,0.495417,0.05157,0.612345,-0.330579,-0.721611,0.854624,0.523746,0.00307974,0.584173
1.368,0.00693559,0.00140186,0.618751,0.495894,0.0522248,0.610995,-0.330579,-0.721611,0.854624,0.525656,0.00527413,0.584703
1.386,0.00758225,0.00335146,0.61924,0.496368,0.0528787,0.609647,-0.330579,-0.721611,0.854624,0.527724,0.0076426,0.58529
1.404,0.0191982,0.00545952,0.619714,0.496839,0.0535317,0.6083,-0.330579,-0.721611,0.854624,0.529977,0.0101761,0.585852
1.422,0.0213126,0.0072957,0.619283,0.497307,0.0541839,0.606955,-0.330579,-0.721611,0.854624,0.532752,0.0124638,0.585673
1.44,0.021912,0.00883155,0.617055,0.497772,0.0548352,0.605612,-0.330579,-0.721611,0.854624,0.535844,0.0143852,0.583193
1.458,0.0205871,0.0109873,0.614738,0.498234,0.0554856,0.60427,-0.330579,-0.721611,0.854624,0.538499,0.0168635,0.580377
1.476,0.0159033,0.0133579,0.613421,0.498693,0.0561352,0.60293,-0.330579,-0.721611,0.854624,0.540696,0.0195661,0.578652
1.494,0.0211868,0.0155577,0.61312,0.499149,0.056784,0.601593,-0.330579,-0.721611,0.854624,0.542526,0.0220999,0.578154
1.512,0.0210747,0.0176891,0.613583,0.499602,0.0574318,0.600256,-0.330579,-0.721611,0.854624,0.544125,0.0245676,0.578639
1.53,0.0218867,0.0198984,0.614503,0.500052,0.0580788,0.598922,-0.330579,-0.721611,0.854624,0.545663,0.0271545,0.579683
1.548,0.0211343,0.0222018,0.615702,0.500499,0.0587249,0.59759,-0.330579,-0.721611,0.854624,0.547264,0.0298655,0.581052
